run_id,geometry,mode,converged,boundary_power_w,angular_farfield_power_w,angular_energy_error_percent,directions
cube_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_16870e260148,cube,independent,True,16.021713517328834,16.038019790232205,0.1017760858458401,194
cube_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_c9ec59bc8ddc,cube,joint,False,21921.162715804112,146628765392.8015,668891269.0106828,194
cube_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_bb1f1baaf195,cube,shared,True,16.021713517328838,16.038019790232205,0.1017760858458179,194
near_gap_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_02870f47c29e,near_gap,independent,True,22.415138397651205,22.428298813917145,0.0587121793872976,194
near_gap_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_f83719b0506b,near_gap,joint,True,22.415112802845627,22.42819939460695,0.0583828949531797,194
near_gap_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_9c038df4b95d,near_gap,shared,True,22.415138397651177,22.428298813917102,0.0587121793872342,194
nonconvex_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_5bd142562826,nonconvex,independent,True,20.83212592518782,20.83357620196255,0.0069617319899935,194
nonconvex_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_ced8700eae20,nonconvex,joint,True,20.832149427252844,20.83358642493849,0.0068979808860624,194
nonconvex_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_11665b7947eb,nonconvex,shared,True,20.83212592518781,20.83357620196255,0.0069617319900276,194
sphere_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_8956452311b1,sphere,independent,True,25.2208468138021,25.21974067161528,-0.0043858249288535,194
sphere_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_2c9d2c30ba9b,sphere,joint,True,25.22084990300976,25.219797535003995,-0.0041726111919536,194
sphere_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_b660914a395b,sphere,shared,True,25.220846813802087,25.21974067161524,-0.0043858249289239,194
