run_id,geometry,subdivisions,frequency_hz,mode,aca_tolerance,near_rings,cache_policy,cache_capacity,build_passes,replicate,suites,solution_dofs,mesh_nodes,mesh_elements,characteristic_kh,return_code,converged,operator_build_seconds,operator_build_pass1_seconds,operator_build_pass2_seconds,assembly_equivalent_seconds,gmres_seconds,internal_total_seconds,external_wall_seconds,peak_rss_gib,average_effective_cores,hmatrix_gib,cache_estimated_gib,cache_hit_rate,cache_evictions,base_evaluations,entry_requests,near_correction_entries,near_correction_seconds,gmres_iterations,gmres_relative_residual,radiation_efficiency,theory_efficiency,efficiency_error_percent,sound_power_w,theory_power_w,power_error_percent,surface_pressure_rms_pa,surface_pressure_relative_l2_error,online_energy_balance_error_percent,V_mean_rank,V_max_rank,V_bytes,V_entry_queries,K_mean_rank,K_max_rank,K_bytes,K_entry_queries,W_mean_rank,W_max_rank,W_bytes,W_entry_queries,field1_abs_pa,field1_phase_deg,field1_theory_abs_pa,field1_theory_phase_deg,field1_amplitude_error_percent,field1_phase_error_deg,angular_energy_error_percent,rank_average
cube_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_16870e260148,cube,28,3000,independent,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.22663049115799164,0,True,20.8969604,20.8969604,,21.2951988,8.6249035,30.1164411,32.21054520000001,1.025543212890625,12.222835784058674,0.3107840567827225,0.6439210176467896,0.05731361299915393,0,19726924,20926285,117506,0.3587049,197,1.64317908470323e-11,1.1222923884952927,,,16.021713517328834,,,436.0070253016656,,130.4583982818939,10.344972067039107,22,104697680,6543605,10.466992665036674,22,107750960,6735731,12.63758865248227,27,121253200,7642243,25.476923363624287,91.38559298555958,,,,,0.1017760858458401,11.149851128186016
cube_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_c9ec59bc8ddc,cube,28,3000,joint,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.22663049115799164,2,False,7.4124295,7.4124295,,7.8383069999999995,19.3118992,27.2805773,30.141230300000018,1.1165313720703125,8.827207629095987,0.3637142479419708,0.6871876418590546,0.10529084165347365,0,7588142,8481127,117506,0.3849507,400,0.0003634668699430161,1535.5382578963645,,,21921.162715804112,,,394306910.06444246,,702343097.9137448,13.815188926300037,44,130178400,8476421,13.815188926300037,44,130178400,0,13.815188926300037,44,130178400,0,174927.55304128616,-50.729241236935565,,,,,668891269.0106828,13.815188926300037
cube_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_bb1f1baaf195,cube,28,3000,shared,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.22663049115799164,0,True,9.6117229,9.6117229,,10.0537263,7.9069352,18.0909814,21.02465920000003,1.2184906005859375,11.208009132043404,0.3107840567827225,0.8771359622478485,0.5358622899382284,0,9712678,20926285,117506,0.3972902,197,1.64317952571845e-11,1.122292388495293,,,16.021713517328838,,,436.0070253016656,,130.4583982818938,10.344972067039107,22,104697680,6543605,10.466992665036674,22,107750960,6735731,12.63758865248227,27,121253200,7642243,25.476923363624287,91.38559298555958,,,,,0.1017760858458179,11.149851128186016
near_gap_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_02870f47c29e,near_gap,28,3000,independent,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.28075284538349116,0,True,21.7368311,21.7368311,,22.129400699999998,9.5131307,31.8553565,33.922217699999976,1.0717887878417969,12.535113364542783,0.3327362388372421,0.6723573505878448,0.05517721050671173,0,21101915,22334257,117506,0.3527314,219,3.628690414412157e-08,1.0810649135257442,,,22.415138397651205,,,533.4151851016311,,158.61970985731236,9.938066465256798,18,112597472,7037342,10.708459214501511,19,118004208,7375263,12.002416918429002,22,126671136,7916946,30.165220569271902,152.6270591894389,,,,,0.0587121793872976,10.882980866062438
near_gap_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_f83719b0506b,near_gap,28,3000,joint,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.28075284538349116,0,True,7.330808,7.330808,,7.7388961,9.8621258,17.7324882,20.432585399999994,1.11309814453125,10.022596007767097,0.3619474768638611,0.685577780008316,0.06573134519927827,0,7570136,8102740,117506,0.3685632,218,4.3983750235841824e-08,1.081063679107924,,,22.415112802845627,,,533.4118522382279,,158.6176808582024,12.374735569658506,22,129546048,8098034,12.374735569658506,22,129546048,0,12.374735569658506,22,129546048,0,30.16519363843346,152.626828202418,,,,,0.0583828949531797,12.374735569658506
near_gap_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_9c038df4b95d,near_gap,28,3000,shared,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.28075284538349116,0,True,9.9255964,9.9255964,,10.355645399999998,9.0560424,19.5682369,22.5841087,1.2708091735839844,11.234936697705479,0.3327362388372421,0.9137281775474548,0.5467968779977771,0,10121955,22334257,117506,0.3814812,219,3.628690448125098e-08,1.0810649135257429,,,22.415138397651177,,,533.4151851016328,,158.61970985731182,9.938066465256798,18,112597472,7037342,10.708459214501511,19,118004208,7375263,12.002416918429002,22,126671136,7916946,30.165220569271888,152.62705918943882,,,,,0.0587121793872342,10.882980866062438
nonconvex_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_5bd142562826,nonconvex,28,3000,independent,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.26106897729604117,0,True,19.8720828,19.8720828,,20.2727686,8.338428,28.7703515,30.827477500000043,1.0012283325195312,12.63159143850155,0.3069807142019272,0.6188018620014191,0.05103792697921991,0,19554154,20605833,117506,0.3583264,211,2.1142657148382224e-10,1.0315941937616295,,,20.83212592518782,,,407.33358928392744,,26.85597790266632,9.797799174690509,17,104219248,6513703,10.761004126547455,18,109646016,6852876,11.717331499312243,21,115752768,7234548,16.07213241598652,152.28611238341026,,,,,0.0069617319899935,10.758711600183403
nonconvex_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_ced8700eae20,nonconvex,28,3000,joint,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.26106897729604117,0,True,6.4417502,6.4417502,,6.828102100000001,8.7126423,15.6787813,17.9873379,1.0393753051757812,10.31538287774643,0.33238787949085236,0.6337922811508179,0.060371793539788526,0,6990925,7440097,117506,0.3454187,211,1.9327482209504716e-10,1.031595357569582,,,20.832149427252844,,,407.3339082997431,,26.856238886338407,12.176066024759285,21,118966256,7435391,12.176066024759285,21,118966256,0,12.176066024759285,21,118966256,0,16.07206929569697,152.28594986916744,,,,,0.0068979808860624,12.176066024759285
nonconvex_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_11665b7947eb,nonconvex,28,3000,shared,0.0001,1,full,0,1,1,geometry,14118,4706,4704,0.26106897729604117,0,True,9.2346602,9.2346602,,9.6034387,8.1771894,17.9254126,20.709023400000035,1.19024658203125,11.34895398583595,0.3069807142019272,0.8489319086074829,0.5439533553436059,0,9397221,20605833,117506,0.3306273,211,2.1142656293352466e-10,1.031594193761629,,,20.832125925187814,,,407.3335892839275,,26.855977902666314,9.797799174690509,17,104219248,6513703,10.761004126547455,18,109646016,6852876,11.717331499312243,21,115752768,7234548,16.07213241598651,152.28611238341026,,,,,0.0069617319900276,10.758711600183403
sphere_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_8956452311b1,sphere,28,3000,independent,0.0001,1,full,0,1,1,scaling;geometry;frequency_anchor;aca_tolerance,14118,4706,4704,0.28392967761976673,0,True,19.7799008,19.7799008,,20.1769016,4.6587448,24.9880419,26.900489800000003,0.9586029052734375,12.916192516922122,0.2919210344552994,0.588213324546814,0.04507099827279085,0,18712020,19595195,117506,0.3587204,110,4.831612278293329e-09,0.967164407242712,0.9679492225011325,-0.08108020959947905,25.2208468138021,25.24131252290133,-0.08108020959948962,408.31508760075116,0.0004988715089613004,0.3977399979731855,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.44994099244113,147.68082856978512,20.416240940246528,147.805819831374,0.16506492205512188,-0.12499126158888885,-0.0043858249288535,10.35984271943176
